zod_id;zod_name;zod_address;number_spaces;zod_x;zod_y;HB_x;HB_y;distance_to_HB;cost_1h;cost_2h;cost_3h;cost_4h;cost_5h;cost_6h;cost_7h;cost_8h;cost_9h;cost_10h;cost_11h;cost_12h;cost_13h;cost_14h;cost_15h;cost_16h;cost_17h;cost_18h;cost_19h;cost_20h;cost_21h;cost_22h;cost_23h;cost_24h
1;Pfingstweid;Pfingstweidstrasse 9;276;2681481.622;1249086.988;2683265.9868223905;1247929.869313064;2126.706720504927;3.0;8.0;10.0;13.0;16.0;19.0;22.0;25.0;28.0;31.0;34.0;37.0;;;;;;;;;;;;
1533;Puls 5;Technoparkstrasse 10;59;2681459.638;1249456.947;2683265.9868223905;1247929.869313064;2365.346133251878;2.5;;;;;;;;;;;;;;;;;;;;;;;
10000479;Sihlcity;Büttenweg 22;758;2681937.93524834;1245644.82246198;2683265.9868223905;1247929.869313064;2642.945344684079;3.5;4.5;6.0;8.0;11.0;14.0;17.0;20.0;25.0;30.0;35.0;;;;;;;;;;;;;39.0
33;Stampfenbach;Niklausstrasse 17;215;2683117.06613709;1249006.59443402;2683265.9868223905;1247929.869313064;1086.9748647546007;3.0;;;;;;;;;;;;;;;;;;;;;;;
10000421;Stauffachertor;Werdstrasse 6;57;2682458.367;1247474.074;2683265.9868223905;1247929.869313064;927.3613885260605;2.0;6.0;;;;;;;;;;;;;;;;;;;;;;
42;Talgarten;Nüschelerstrasse 30;110;2682881.768;1247391.115;2683265.9868223905;1247929.869313064;661.7252551656921;4.0;8.0;13.0;18.0;23.0;27.0;31.0;35.0;39.0;;;;;;;;;;;;;;;
1412;Unispital Nord;Frauenklinikstrasse 10;104;2683910.203;1248157.4585;2683265.9868223905;1247929.869313064;683.2359193604126;4.0;;;;;;;;;;;;;;;;;;;;;;;
24;Urania;Uraniastrasse 3;480;2683236.23667115;1247643.59028734;2683265.9868223905;1247929.869313064;287.8206943016057;4.0;9.0;14.0;19.0;24.0;29.0;34.0;39.0;44.0;;;;;;;;;;;;;;;
48;Utoquai;Färberstrasse 6;153;2683843.225;1246247.033;2683265.9868223905;1247929.869313064;1779.084587718315;3.0;7.0;11.0;16.0;21.0;24.0;27.0;30.0;33.0;;;;;;;;;;;;;;;
10000417;Vorderberg;Vorderberg 3;20;2684594.87809576;1247866.45844061;2683265.9868223905;1247929.869313064;1330.4033054615884;1.5;3.5;5.5;8.0;12.0;16.0;22.0;30.0;;;;;;;;;;;;;;;;40.0
10000511;Zentrum Witikon;Buchzelgstrasse 20a;180;2686684.60943367;1246033.03569915;2683265.9868223905;1247929.869313064;3909.598229642796;0.0;1.0;2.0;;;;;;;;;;;;;;;;;;;;;
53;Züri 11;Nansenstrasse 7;60;2683508.54;1251699.314;2683265.9868223905;1247929.869313064;3777.2404334167563;2.0;4.0;7.0;10.0;;;;;;;;;;;;;;;;;;;;
11;Zürichhorn;Baurstrasse 7;195;2684196.67625342;1245547.79596214;2683265.9868223905;1247929.869313064;2557.4315760568043;3.0;6.0;9.0;12.0;15.0;17.0;19.0;21.0;23.0;;;;;;;;;;;;;;;25.0
